漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
139,243,偽(僞),偽,ギ,偽名,ぎめい,真偽,しんぎ,虚偽,きょぎ,偽名(ぎめい),真偽(しんぎ),虚偽(きょぎ),
139,244,偽(僞),偽,いつわる,偽る,いつわる,,,,,偽る(いつわる),,,
139,245,偽(僞),偽,にせ,偽,にせ,偽物,にせもの,偽札,にせさつ,偽(にせ),偽物(にせもの),偽札(にせさつ),
140,246,欺,欺,ギ,詐欺,さぎ,,,,,詐欺(さぎ),,,
140,247,欺,欺,あざむく,欺く,あざむく,,,,,欺く(あざむく),,,
141,248,儀,儀,ギ,儀式,ぎしき,威儀,いぎ,地球儀,ちきゅうぎ,儀式(ぎしき),威儀(いぎ),地球儀(ちきゅうぎ),
142,249,戯(戲),戯,ギ,戯曲,ぎきょく,遊戯,ゆうぎ,児戯,じぎ,戯曲(ぎきょく),遊戯(ゆうぎ),児戯(じぎ),
142,250,戯(戲),戯,たわむれる,戯れる,たわむれる,,,,,戯れる(たわむれる),,,
143,251,擬,擬,ギ,擬音,ぎおん,擬人法,ぎじんほう,模擬,もぎ,擬音(ぎおん),擬人法(ぎじんほう),模擬(もぎ),
144,252,犠(犧),犠,ギ,犠牲,ぎせい,,,,,犠牲(ぎせい),,,
145,253,菊,菊,キク,菊,きく,菊花,きっか,白菊,しらぎく,菊(きく),菊花(きっか),白菊(しらぎく),
146,254,吉,吉,キチ,吉日,きちじつ,吉例,きちれい,大吉,だいきち,吉日(きちじつ),吉例(きちれい),大吉(だいきち),「吉日」は，「キツジツ」とも。
146,255,吉,吉,キツ,吉報,きっぽう,,,,,吉報(きっぽう),,,
147,256,喫,喫,キツ,喫煙,きつえん,満喫,まんきつ,喫する,きっする,喫煙(きつえん),満喫(まんきつ),喫する(きっする),
148,257,詰,詰,キツ,詰問,きつもん,難詰,なんきつ,面詰,めんきつ,詰問(きつもん),難詰(なんきつ),面詰(めんきつ),
148,258,詰,詰,つめる,詰める,つめる,,,,,詰める(つめる),,,
148,259,詰,詰,つまる,詰まる,つまる,,,,,詰まる(つまる),,,
148,260,詰,詰,つむ,詰む,つむ,,,,,詰む(つむ),,,
149,261,却,却,キャク,却下,きゃっか,退却,たいきゃく,売却,ばいきゃく,却下(きゃっか),退却(たいきゃく),売却(ばいきゃく),
150,262,脚,脚,キャク,脚部,きゃくぶ,脚本,きゃくほん,三脚,さんきゃく,脚部(きゃくぶ),脚本(きゃくほん),三脚(さんきゃく),
150,263,脚,脚,キャ,脚立,きゃたつ,,,,,脚立(きゃたつ),,,
150,264,脚,脚,あし,脚,あし,,,,,脚(あし),,,←→足
151,265,虐,虐,ギャク,虐待,ぎゃくたい,虐殺,ぎゃくさつ,残虐,ざんぎゃく,虐待(ぎゃくたい),虐殺(ぎゃくさつ),残虐(ざんぎゃく),
151,266,虐,虐,しいたげる,虐げる,しいたげる,,,,,虐げる(しいたげる),,,
152,267,及,及,キュウ,及第,きゅうだい,追及,ついきゅう,普及,ふきゅう,及第(きゅうだい),追及(ついきゅう),普及(ふきゅう),
152,268,及,及,およぶ,及ぶ,およぶ,,,,,及ぶ(およぶ),,,
152,269,及,及,および,及び〔接〕,および［せつ］,,,,,及び〔接〕(および［せつ］),,,
152,270,及,及,およぼす,及ぼす,およぼす,,,,,及ぼす(およぼす),,,
153,271,丘,丘,キュウ,丘陵,きゅうりょう,,,,,丘陵(きゅうりょう),,,
153,272,丘,丘,おか,丘,おか,,,,,丘(おか),,,
154,273,朽,朽,キュウ,不朽,ふきゅう,老朽,ろうきゅう,腐朽,ふきゅう,不朽(ふきゅう),老朽(ろうきゅう),腐朽(ふきゅう),
154,274,朽,朽,くちる,朽ちる,くちる,,,,,朽ちる(くちる),,,
155,275,糾,糾,キュウ,糾弾,きゅうだん,,,,,糾弾(きゅうだん),,,
156,276,窮,窮,キュウ,窮極,きゅうきょく,窮屈,きゅうくつ,困窮,こんきゅう,窮極(きゅうきょく),窮屈(きゅうくつ),困窮(こんきゅう),
156,277,窮,窮,きわめる,窮める,きわめる,,,,,窮める(きわめる),,,←→究める，極める
156,278,窮,窮,きわまる,窮まる,きわまる,,,,,窮まる(きわまる),,,←→極まる
157,279,巨,巨,キョ,巨大,きょだい,巨匠,きょしょう,巨万,きょまん,巨大(きょだい),巨匠(きょしょう),巨万(きょまん),
158,280,拒,拒,キョ,拒絶,きょぜつ,,,,,拒絶(きょぜつ),,,
158,281,拒,拒,こばむ,拒む,こばむ,,,,,拒む(こばむ),,,
159,282,拠(據),拠,キョ,拠点,きょてん,占拠,せんきょ,根拠,こんきょ,拠点(きょてん),占拠(せんきょ),根拠(こんきょ),
159,283,拠(據),拠,コ,証拠,しょうこ,,,,,証拠(しょうこ),,,
160,284,虚(),虚,キョ,虚無,きょむ,虚偽,きょぎ,空虚,くうきょ,虚無(きょむ),虚偽(きょぎ),空虚(くうきょ),
160,285,虚(),虚,コ,虚空,こくう,,,,,虚空(こくう),,,
161,286,距,距,キョ,距離,きょり,,,,,距離(きょり),,,
162,287,御,御,ギョ,御者,ぎょしゃ,,,,,御者(ぎょしゃ),,,
162,288,御,御,ゴ,御飯,ごはん,御用,ごよう,御殿,ごてん,御飯(ごはん),御用(ごよう),御殿(ごてん),
162,289,御,御,おん,御中,おんちゅう,,,,,御中(おんちゅう),,,
163,290,凶,凶,キョウ,凶悪,きょうあく,凶作,きょうさく,吉凶,きっきょう,凶悪(きょうあく),凶作(きょうさく),吉凶(きっきょう),
164,291,叫,叫,キョウ,叫喚,きょうかん,,,,,叫喚(きょうかん),,,
164,292,叫,叫,さけぶ,叫ぶ,さけぶ,,,,,叫ぶ(さけぶ),,,
165,293,狂,狂,キョウ,狂気,きょうき,狂言,きょうげん,熱狂,ねっきょう,狂気(きょうき),狂言(きょうげん),熱狂(ねっきょう),
165,294,狂,狂,くるう,狂う,くるう,,,,,狂う(くるう),,,
165,295,狂,狂,くるおしい,狂おしい,くるおしい,,,,,狂おしい(くるおしい),,,
166,296,享,享,キョウ,享有,きょうゆう,享受,きょうじゅ,享楽,きょうらく,享有(きょうゆう),享受(きょうじゅ),享楽(きょうらく),
167,297,況,況,キョウ,状況,じょうきょう,実況,じっきょう,概況,がいきょう,状況(じょうきょう),実況(じっきょう),概況(がいきょう),
168,298,峡(峽),峡,キョウ,峡谷,きょうこく,地峡,ちきょう,海峡,かいきょう,峡谷(きょうこく),地峡(ちきょう),海峡(かいきょう),
169,299,挟(挾),挟,キョウ,挟撃,きょうげき,,,,,挟撃(きょうげき),,,
169,300,挟(挾),挟,はさむ,挟む,はさむ,,,,,挟む(はさむ),,,
169,301,挟(挾),挟,はさまる,挟まる,はさまる,,,,,挟まる(はさまる),,,
170,302,狭(狹),狭,キョウ,狭量,きょうりょう,広狭,こうきょう,偏狭,へんきょう,狭量(きょうりょう),広狭(こうきょう),偏狭(へんきょう),
170,303,狭(狹),狭,せまい,狭い,せまい,,,,,狭い(せまい),,,
170,304,狭(狹),狭,せばめる,狭める,せばめる,,,,,狭める(せばめる),,,
170,305,狭(狹),狭,せばまる,狭まる,せばまる,,,,,狭まる(せばまる),,,
171,306,恐,恐,キョウ,恐怖,きょうふ,恐縮,きょうしゅく,恐慌,きょうこう,恐怖(きょうふ),恐縮(きょうしゅく),恐慌(きょうこう),
171,307,恐,恐,おそれる,恐れる,おそれる,恐れ,おそれ,恐らく,おそらく,恐れる(おそれる),恐れ(おそれ),恐らく(おそらく),
171,308,恐,恐,おそろしい,恐ろしい,おそろしい,,,,,恐ろしい(おそろしい),,,
172,309,恭,恭,キョウ,恭賀,きょうが,,,,,恭賀(きょうが),,,
172,310,恭,恭,うやうやしい,恭しい,うやうやしい,,,,,恭しい(うやうやしい),,,
173,311,脅,脅,キョウ,脅迫,きょうはく,,,,,脅迫(きょうはく),,,
173,312,脅,脅,おびやかす,脅かす,おびやかす,,,,,脅かす(おびやかす),,,
173,313,脅,脅,おどす,脅す,おどす,脅し,おどし,脅し文句,おどしもんく,脅す(おどす),脅し(おどし),脅し文句(おどしもんく),
173,314,脅,脅,おどかす,脅かす,おびやかす,,,,,脅かす(おびやかす),,,
174,315,矯,矯,キョウ,矯正,きょうせい,,,,,矯正(きょうせい),,,
174,316,矯,矯,ためる,矯める,ためる,,,,,矯める(ためる),,,
175,317,響(),響,キョウ,音響,おんきょう,影響,えいきょう,交響楽,こうきょうがく,音響(おんきょう),影響(えいきょう),交響楽(こうきょうがく),
175,318,響(),響,ひびく,響く,ひびく,,,,,響く(ひびく),,,
176,319,驚,驚,キョウ,驚異,きょうい,,,,,驚異(きょうい),,,
176,320,驚,驚,おどろく,驚く,おどろく,,,,,驚く(おどろく),,,
176,321,驚,驚,おどろかす,驚かす,おどろかす,,,,,驚かす(おどろかす),,,
177,322,仰,仰,ギョウ,仰視,ぎょうし,仰天,ぎょうてん,仰角,ぎょうかく,仰視(ぎょうし),仰天(ぎょうてん),仰角(ぎょうかく),
177,323,仰,仰,コウ,信仰,しんこう,,,,,信仰(しんこう),,,
177,324,仰,仰,あおぐ,仰ぐ,あおぐ,,,,,仰ぐ(あおぐ),,,
177,325,仰,仰,おおせ,仰せ,おおせ,,,,,仰せ(おおせ),,,
178,326,暁(曉),暁,ギョウ,暁天,ぎょうてん,今暁,こんぎょう,通暁,つうぎょう,暁天(ぎょうてん),今暁(こんぎょう),通暁(つうぎょう),
178,327,暁(曉),暁,あかつき,暁,あかつき,,,,,暁(あかつき),,,
179,328,凝,凝,ギョウ,凝固,ぎょうこ,凝結,ぎょうけつ,凝視,ぎょうし,凝固(ぎょうこ),凝結(ぎょうけつ),凝視(ぎょうし),
179,329,凝,凝,こる,凝る,こる,,,,,凝る(こる),,,
179,330,凝,凝,こらす,凝らす,こらす,,,,,凝らす(こらす),,,
180,331,斤,斤,キン,斤量,きんりょう,,,,,斤量(きんりょう),,,
181,332,菌,菌,キン,細菌,さいきん,殺菌,さっきん,保菌者,ほきんしゃ,細菌(さいきん),殺菌(さっきん),保菌者(ほきんしゃ),
182,333,琴,琴,キン,琴線,きんせん,木琴,もっきん,手風琴,てふうきん,琴線(きんせん),木琴(もっきん),手風琴(てふうきん),
182,334,琴,琴,こと,琴,こと,,,,,琴(こと),,,
183,335,緊,緊,キン,緊張,きんちょう,緊密,きんみつ,緊急,きんきゅう,緊張(きんちょう),緊密(きんみつ),緊急(きんきゅう),
184,336,謹(),謹,キン,謹慎,きんしん,謹賀,きんが,謹呈,きんてい,謹慎(きんしん),謹賀(きんが),謹呈(きんてい),
184,337,謹(),謹,つつしむ,謹む,つつしむ,,,,,謹む(つつしむ),,,←→慎む
185,338,襟,襟,キン,襟度,きんど,開襟,かいきん,胸襟,きょうきん,襟度(きんど),開襟(かいきん),胸襟(きょうきん),
185,339,襟,襟,えり,襟,えり,,,,,襟(えり),,,
186,340,吟,吟,ギン,吟味,ぎんみ,詩吟,しぎん,苦吟,くぎん,吟味(ぎんみ),詩吟(しぎん),苦吟(くぎん),
187,341,駆(驅),駆,ク,駆使,くし,駆逐,くちく,先駆,せんく,駆使(くし),駆逐(くちく),先駆(せんく),
187,342,駆(驅),駆,かける,駆ける,かける,,,,,駆ける(かける),,,
187,343,駆(驅),駆,かる,駆る,かる,,,,,駆る(かる),,,
188,344,愚,愚,グ,愚問,ぐもん,愚鈍,ぐどん,暗愚,あんぐ,愚問(ぐもん),愚鈍(ぐどん),暗愚(あんぐ),
188,345,愚,愚,おろか,愚かだ,おろかだ,,,,,愚かだ(おろかだ),,,
189,346,偶,偶,グウ,偶然,ぐうぜん,偶数,ぐうすう,配偶者,はいぐうしゃ,偶然(ぐうぜん),偶数(ぐうすう),配偶者(はいぐうしゃ),
190,347,遇,遇,グウ,境遇,きょうぐう,待遇,たいぐう,遇する,ぐうする,境遇(きょうぐう),待遇(たいぐう),遇する(ぐうする),
191,348,隅,隅,グウ,一隅,いちぐう,,,,,一隅(いちぐう),,,
191,349,隅,隅,すみ,隅,すみ,,,,,隅(すみ),,,
192,350,屈,屈,クツ,屈辱,くつじょく,屈伸,くっしん,不屈,ふくつ,屈辱(くつじょく),屈伸(くっしん),不屈(ふくつ),
193,351,掘,掘,クツ,掘削,くっさく,発掘,はっくつ,採掘,さいくつ,掘削(くっさく),発掘(はっくつ),採掘(さいくつ),
193,352,掘,掘,ほる,掘る,ほる,,,,,掘る(ほる),,,
194,353,繰,繰,くる,繰る,くる,,,,,繰る(くる),,,
195,354,勲(勳),勲,クン,勲功,くんこう,勲章,くんしょう,殊勲,しゅくん,勲功(くんこう),勲章(くんしょう),殊勲(しゅくん),
196,355,薫(),薫,クン,薫風,くんぷう,,,,,薫風(くんぷう),,,
196,356,薫(),薫,かおる,薫る,かおる,,,,,薫る(かおる),,,←→香る
197,357,刑,刑,ケイ,刑罰,けいばつ,刑法,けいほう,処刑,しょけい,刑罰(けいばつ),刑法(けいほう),処刑(しょけい),
198,358,茎(莖),茎,ケイ,球茎,たまくき,,,,,球茎(たまくき),,,
198,359,茎(莖),茎,くき,茎,くき,,,,,茎(くき),,,
199,360,契,契,ケイ,契約,けいやく,契機,けいき,黙契,もっけい,契約(けいやく),契機(けいき),黙契(もっけい),
199,361,契,契,ちぎる,契る,ちぎる,,,,,契る(ちぎる),,,
200,362,恵(惠),恵,ケイ,恵贈,けいぞう,恵与,けいよ,恩恵,おんけい,恵贈(けいぞう),恵与(けいよ),恩恵(おんけい),
200,363,恵(惠),恵,エ,恵方参り,えほうまいり,,,,,恵方参り(えほうまいり),,,
200,364,恵(惠),恵,めぐむ,恵む,めぐむ,,,,,恵む(めぐむ),,,
201,365,啓,啓,ケイ,啓発,けいはつ,啓示,けいじ,拝啓,はいけい,啓発(けいはつ),啓示(けいじ),拝啓(はいけい),
202,366,掲(),掲,ケイ,掲示,けいじ,掲載,けいさい,前掲,ぜんけい,掲示(けいじ),掲載(けいさい),前掲(ぜんけい),
202,367,掲(),掲,かかげる,掲げる,かかげる,,,,,掲げる(かかげる),,,
203,368,渓(溪),渓,ケイ,渓谷,けいこく,渓流,けいりゅう,雪渓,せっけい,渓谷(けいこく),渓流(けいりゅう),雪渓(せっけい),
204,369,蛍(螢),蛍,ケイ,蛍光灯,けいこうとう,,,,,蛍光灯(けいこうとう),,,
204,370,蛍(螢),蛍,ほたる,蛍,ほたる,,,,,蛍(ほたる),,,
205,371,傾,傾,ケイ,傾斜,けいしゃ,傾倒,けいとう,傾向,けいこう,傾斜(けいしゃ),傾倒(けいとう),傾向(けいこう),
205,372,傾,傾,かたむく,傾く,かたむく,,,,,傾く(かたむく),,,
205,373,傾,傾,かたむける,傾ける,かたむける,,,,,傾ける(かたむける),,,
206,374,携,携,ケイ,携帯,けいたい,必携,ひっけい,提携,ていけい,携帯(けいたい),必携(ひっけい),提携(ていけい),
206,375,携,携,たずさえる,携える,たずさえる,,,,,携える(たずさえる),,,
206,376,携,携,たずさわる,携わる,たずさわる,,,,,携わる(たずさわる),,,
207,377,継(繼),継,ケイ,継続,けいぞく,継承,けいしょう,中継,ちゅうけい,継続(けいぞく),継承(けいしょう),中継(ちゅうけい),
207,378,継(繼),継,つぐ,継ぐ,つぐ,,,,,継ぐ(つぐ),,,←→接ぐ，次ぐ
208,379,慶,慶,ケイ,慶弔,けいちょう,慶祝,けいしゅく,慶賀,けいが,慶弔(けいちょう),慶祝(けいしゅく),慶賀(けいが),
209,380,憩,憩,ケイ,休憩,きゅうけい,,,,,休憩(きゅうけい),,,
209,381,憩,憩,いこい,憩い,いこい,,,,,憩い(いこい),,,
209,382,憩,憩,いこう,憩う,いこう,,,,,憩う(いこう),,,
210,383,鶏(鷄),鶏,ケイ,鶏卵,けいらん,鶏舎,けいしゃ,養鶏,ようけい,鶏卵(けいらん),鶏舎(けいしゃ),養鶏(ようけい),
210,384,鶏(鷄),鶏,にわとり,鶏,とり,,,,,鶏(とり),,,
211,385,迎,迎,ゲイ,迎合,げいごう,歓迎,かんげい,送迎,そうげい,迎合(げいごう),歓迎(かんげい),送迎(そうげい),
211,386,迎,迎,むかえる,迎える,むかえる,,,,,迎える(むかえる),,,
212,387,鯨,鯨,ゲイ,鯨油,げいゆ,,,,,鯨油(げいゆ),,,
212,388,鯨,鯨,くじら,鯨,くじら,,,,,鯨(くじら),,,
213,389,撃(),撃,ゲキ,撃退,げきたい,攻撃,こうげき,打撃,だげき,撃退(げきたい),攻撃(こうげき),打撃(だげき),
213,390,撃(),撃,うつ,撃つ,うつ,,,,,撃つ(うつ),,,←→打つ，討つ
214,391,傑,傑,ケツ,傑物,けつぶつ,傑作,けっさく,豪傑,ごうけつ,傑物(けつぶつ),傑作(けっさく),豪傑(ごうけつ),
215,392,肩,肩,ケン,肩章,けんしょう,双肩,そうけん,比肩,ひけん,肩章(けんしょう),双肩(そうけん),比肩(ひけん),
215,393,肩,肩,かた,肩,かた,,,,,肩(かた),,,
216,394,倹(儉),倹,ケン,倹約,けんやく,節倹,せっけん,勤倹,きんけん,倹約(けんやく),節倹(せっけん),勤倹(きんけん),
217,395,兼,兼,ケン,兼用,けんよう,兼任,けんにん,兼職,けんしょく,兼用(けんよう),兼任(けんにん),兼職(けんしょく),
217,396,兼,兼,かねる,兼ねる,かねる,,,,,兼ねる(かねる),,,
218,397,剣(劍),剣,ケン,剣道,けんどう,剣舞,けんぶ,刀剣,とうけん,剣道(けんどう),剣舞(けんぶ),刀剣(とうけん),
218,398,剣(劍),剣,つるぎ,剣,けん,,,,,剣(けん),,,
219,399,軒,軒,ケン,軒数,けんすう,,,,,軒数(けんすう),,,
219,400,軒,軒,のき,軒,のき,,,,,軒(のき),,,
220,401,圏(圈),圏,ケン,圏内,けんない,圏外,けんがい,成層圏,せいそうけん,圏内(けんない),圏外(けんがい),成層圏(せいそうけん),
221,402,堅,堅,ケン,堅固,けんご,堅実,けんじつ,中堅,ちゅうけん,堅固(けんご),堅実(けんじつ),中堅(ちゅうけん),
221,403,堅,堅,かたい,堅い,かたい,,,,,堅い(かたい),,,←→硬い，固い
222,404,嫌,嫌,ケン,嫌悪,けんお,,,,,嫌悪(けんお),,,
222,405,嫌,嫌,ゲン,機嫌,きげん,,,,,機嫌(きげん),,,
222,406,嫌,嫌,きらう,嫌う,きらう,,,,,嫌う(きらう),,,
222,407,嫌,嫌,いや,嫌だ,いやだ,嫌がる,いやがる,嫌気がさす,いやけがさす,嫌だ(いやだ),嫌がる(いやがる),嫌気がさす(いやけがさす),
223,408,献(獻),献,ケン,献上,けんじょう,献身的,けんしんてき,文献,ぶんけん,献上(けんじょう),献身的(けんしんてき),文献(ぶんけん),
223,409,献(獻),献,コン,献立,こんだて,,,,,献立(こんだて),,,
224,410,遣,遣,ケン,遣外,けんがい,派遣,はけん,分遣,ぶんけん,遣外(けんがい),派遣(はけん),分遣(ぶんけん),
224,411,遣,遣,つかう,遣う,つかう,,,,,遣う(つかう),,,←→使う
224,412,遣,遣,つかわす,遣わす,つかわす,,,,,遣わす(つかわす),,,
225,413,賢,賢,ケン,賢人,けんじん,賢明,けんめい,先賢,せんけん,賢人(けんじん),賢明(けんめい),先賢(せんけん),
225,414,賢,賢,かしこい,賢い,かしこい,,,,,賢い(かしこい),,,
226,415,謙,謙,ケン,謙虚,けんきょ,,,,,謙虚(けんきょ),,,
227,416,繭,繭,ケン,繭糸,けんし,,,,,繭糸(けんし),,,
227,417,繭,繭,まゆ,繭,まゆ,,,,,繭(まゆ),,,
228,418,顕(顯),顕,ケン,顕著,けんちょ,顕彰,けんしょう,顕微鏡,けんびきょう,顕著(けんちょ),顕彰(けんしょう),顕微鏡(けんびきょう),
229,419,懸,懸,ケン,懸垂,けんすい,懸賞,けんしょう,懸命,けんめい,懸垂(けんすい),懸賞(けんしょう),懸命(けんめい),
229,420,懸,懸,ケ,懸念,けねん,,,,,懸念(けねん),,,
229,421,懸,懸,かける,懸ける,かける,,,,,懸ける(かける),,,←→掛ける，架ける
229,422,懸,懸,かかる,懸かる,かかる,,,,,懸かる(かかる),,,←→掛かる，架かる
230,423,幻,幻,ゲン,幻滅,げんめつ,幻覚,げんかく,夢幻,むげん,幻滅(げんめつ),幻覚(げんかく),夢幻(むげん),
230,424,幻,幻,まぼろし,幻,まぼろし,,,,,幻(まぼろし),,,
231,425,玄,玄,ゲン,玄米,げんまい,玄関,げんかん,幽玄,ゆうげん,玄米(げんまい),玄関(げんかん),幽玄(ゆうげん),玄人(くろうと)
232,426,弦,弦,ゲン,上弦,じょうげん,,,,,上弦(じょうげん),,,
232,427,弦,弦,つる,弦,つる,,,,,弦(つる),,,
233,428,孤,孤,コ,孤児,こじ,孤独,こどく,孤立,こりつ,孤児(こじ),孤独(こどく),孤立(こりつ),
234,429,弧,弧,コ,弧状,こじょう,括弧,かっこ,円弧,えんこ,弧状(こじょう),括弧(かっこ),円弧(えんこ),
235,430,枯,枯,コ,枯死,こし,枯淡,こたん,栄枯,えいこ,枯死(こし),枯淡(こたん),栄枯(えいこ),
235,431,枯,枯,かれる,枯れる,かれる,,,,,枯れる(かれる),,,
235,432,枯,枯,からす,枯らす,からす,,,,,枯らす(からす),,,
236,433,雇,雇,コ,雇用,こよう,雇員,こいん,解雇,かいこ,雇用(こよう),雇員(こいん),解雇(かいこ),
236,434,雇,雇,やとう,雇う,やとう,,,,,雇う(やとう),,,
237,435,誇,誇,コ,誇示,こじ,誇大,こだい,誇張,こちょう,誇示(こじ),誇大(こだい),誇張(こちょう),
237,436,誇,誇,ほこる,誇る,ほこる,誇り,ほこり,誇らしい,ほこらしい,誇る(ほこる),誇り(ほこり),誇らしい(ほこらしい),
238,437,鼓,鼓,コ,鼓動,こどう,鼓舞,こぶ,太鼓,たいこ,鼓動(こどう),鼓舞(こぶ),太鼓(たいこ),
238,438,鼓,鼓,つづみ,鼓,つづみ,,,,,鼓(つづみ),,,
239,439,顧,顧,コ,顧慮,こりょ,顧問,こもん,回顧,かいこ,顧慮(こりょ),顧問(こもん),回顧(かいこ),
239,440,顧,顧,かえりみる,顧みる,かえりみる,,,,,顧みる(かえりみる),,,←→省みる
240,441,互,互,ゴ,互角,ごかく,互選,ごせん,相互,そうご,互角(ごかく),互選(ごせん),相互(そうご),
240,442,互,互,たがい,互い,たがい,互いに,たがいに,互い違い,たがいちがい,互い(たがい),互いに(たがいに),互い違い(たがいちがい),
241,443,呉,呉,ゴ,呉服,ごふく,,,,,呉服(ごふく),,,
242,444,娯,娯,ゴ,娯楽,ごらく,,,,,娯楽(ごらく),,,
243,445,悟,悟,ゴ,悟性,ごせい,覚悟,かくご,悔悟,かいご,悟性(ごせい),覚悟(かくご),悔悟(かいご),
243,446,悟,悟,さとる,悟る,さとる,,,,,悟る(さとる),,,
244,447,碁,碁,ゴ,碁石,ごいし,碁盤,ごばん,囲碁,いご,碁石(ごいし),碁盤(ごばん),囲碁(いご),
245,448,孔,孔,コウ,鼻孔,びこう,,,,,鼻孔(びこう),,,
246,449,巧,巧,コウ,巧拙,こうせつ,巧妙,こうみょう,技巧,ぎこう,巧拙(こうせつ),巧妙(こうみょう),技巧(ぎこう),
246,450,巧,巧,たくみ,巧みな術,たくみなじゅつ,,,,,巧みな術(たくみなじゅつ),,,
247,451,甲,甲,コウ,甲乙,こうおつ,,,,,甲乙(こうおつ),,,
247,452,甲,甲,カン,甲板,かんぱん,,,,,甲板(かんぱん),,,「甲板」は，「コウハン」とも。
248,453,江,江,コウ,江湖,こうこ,,,,,江湖(こうこ),,,
248,454,江,江,え,入り江,いりえ,,,,,入り江(いりえ),,,
249,455,坑,坑,コウ,坑道,こうどう,炭坑,たんこう,廃坑,はいこう,坑道(こうどう),炭坑(たんこう),廃坑(はいこう),
250,456,抗,抗,コウ,抗争,こうそう,抗議,こうぎ,対抗,たいこう,抗争(こうそう),抗議(こうぎ),対抗(たいこう),
251,457,攻,攻,コウ,攻守,こうしゅ,攻撃,こうげき,専攻,せんこう,攻守(こうしゅ),攻撃(こうげき),専攻(せんこう),
251,458,攻,攻,せめる,攻める,せめる,,,,,攻める(せめる),,,
252,459,更,更,コウ,更新,こうしん,更迭,こうてつ,変更,へんこう,更新(こうしん),更迭(こうてつ),変更(へんこう),
252,460,更,更,さら,更に,さらに,,,,,更に(さらに),,,
252,461,更,更,ふける,更ける,ふける,,,,,更ける(ふける),,,
252,462,更,更,ふかす,更かす,ふかす,,,,,更かす(ふかす),,,
253,463,拘,拘,コウ,拘束,こうそく,拘留,こうりゅう,拘置,こうち,拘束(こうそく),拘留(こうりゅう),拘置(こうち),
254,464,肯,肯,コウ,肯定,こうてい,,,,,肯定(こうてい),,,
255,465,侯,侯,コウ,諸侯,しょこう,,,,,諸侯(しょこう),,,
256,466,恒(恆),恒,コウ,恒常,こうじょう,恒例,こうれい,恒久,つねひさ,恒常(こうじょう),恒例(こうれい),恒久(つねひさ),
257,467,洪,洪,コウ,洪水,こうずい,,,,,洪水(こうずい),,,
258,468,荒,荒,コウ,荒天,こうてん,荒廃,こうはい,荒涼,こうりょう,荒天(こうてん),荒廃(こうはい),荒涼(こうりょう),
258,469,荒,荒,あらい,荒い,あらい,荒波,あらなみ,荒々しい,あらあらしい,荒い(あらい),荒波(あらなみ),荒々しい(あらあらしい),←→粗い
258,470,荒,荒,あれる,荒れる,あれる,荒れ地,あれち,大荒れ,おおあれ,荒れる(あれる),荒れ地(あれち),大荒れ(おおあれ),
258,471,荒,荒,あらす,荒らす,あらす,,,,,荒らす(あらす),,,
259,472,郊,郊,コウ,郊外,こうがい,,,,,郊外(こうがい),,,
260,473,貢,貢,コウ,貢献,こうけん,,,,,貢献(こうけん),,,
260,474,貢,貢,ク,年貢,ねんぐ,,,,,年貢(ねんぐ),,,
260,475,貢,貢,みつぐ,貢ぐ,みつぐ,,,,,貢ぐ(みつぐ),,,
261,476,控,控,コウ,控除,こうじょ,,,,,控除(こうじょ),,,
261,477,控,控,ひかえる,控える,ひかえる,,,,,控える(ひかえる),,,
262,478,慌,慌,コウ,恐慌,きょうこう,,,,,恐慌(きょうこう),,,
262,479,慌,慌,あわてる,慌てる,あわてる,,,,,慌てる(あわてる),,,
262,480,慌,慌,あわただしい,慌ただしい,あわただしい,慌ただしさ,あわただしさ,慌ただしげだ,あわただしげだ,慌ただしい(あわただしい),慌ただしさ(あわただしさ),慌ただしげだ(あわただしげだ),
263,481,硬,硬,コウ,硬度,こうど,硬貨,こうか,生硬,せいこう,硬度(こうど),硬貨(こうか),生硬(せいこう),
263,482,硬,硬,かたい,硬い,かたい,,,,,硬い(かたい),,,←→堅い，固い
264,483,絞,絞,コウ,絞殺,こうさつ,,,,,絞殺(こうさつ),,,
264,484,絞,絞,しぼる,絞る,しぼる,絞り上げる,しぼりあげる,絞り,しぼり,絞る(しぼる),絞り上げる(しぼりあげる),絞り(しぼり),←→搾る
264,485,絞,絞,しめる,絞める,しめる,,,,,絞める(しめる),,,←→締める
264,486,絞,絞,しまる,絞まる,しまる,,,,,絞まる(しまる),,,←→締まる
265,487,項,項,コウ,項目,こうもく,事項,じこう,条項,じょうこう,項目(こうもく),事項(じこう),条項(じょうこう),
266,488,溝,溝,コウ,下水溝,げすいこう,,,,,下水溝(げすいこう),,,
266,489,溝,溝,みぞ,溝,みぞ,,,,,溝(みぞ),,,
267,490,綱,綱,コウ,綱紀,つなのり,綱領,こうりょう,大綱,たいこう,綱紀(つなのり),綱領(こうりょう),大綱(たいこう),
267,491,綱,綱,つな,綱,つな,,,,,綱(つな),,,
268,492,酵,酵,コウ,酵母,こうぼ,,,,,酵母(こうぼ),,,
269,493,稿,稿,コウ,草稿,そうこう,原稿,げんこう,投稿,とうこう,草稿(そうこう),原稿(げんこう),投稿(とうこう),
