漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
32,53,煙,煙,けむる,煙る,けむる,,,,,煙る(けむる),,,
32,54,煙,煙,けむり,煙,けむり,,,,,煙(けむり),,,
32,55,煙,煙,けむい,煙い,けむい,煙たい,けむたい,煙たがる,けむたがる,煙い(けむい),煙たい(けむたい),煙たがる(けむたがる),
33,56,猿,猿,エン,野猿,やえん,類人猿,るいじんえん,犬猿の仲,けんえんのなか,野猿(やえん),類人猿(るいじんえん),犬猿の仲(けんえんのなか),
33,57,猿,猿,さる,猿,さる,,,,,猿(さる),,,
34,58,鉛,鉛,エン,鉛筆,えんぴつ,亜鉛,あえん,黒鉛,こくえん,鉛筆(えんぴつ),亜鉛(あえん),黒鉛(こくえん),
34,59,鉛,鉛,なまり,鉛,なまり,,,,,鉛(なまり),,,
35,60,縁(),縁,エン,縁故,えんこ,縁日,えんにち,血縁,けつえん,縁故(えんこ),縁日(えんにち),血縁(けつえん),「因縁」は，「インネン」。
35,61,縁(),縁,ふち,縁,えん,縁取り,ふちどり,額縁,がくぶち,縁(えん),縁取り(ふちどり),額縁(がくぶち),
36,62,汚,汚,オ,汚点,おてん,汚物,おぶつ,汚名,おめい,汚点(おてん),汚物(おぶつ),汚名(おめい),
36,63,汚,汚,けがす,汚す,よごす,,,,,汚す(よごす),,,
36,64,汚,汚,けがれる,汚れる,よごれる,,,,,汚れる(よごれる),,,
36,65,汚,汚,けがらわしい,汚らわしい,けがらわしい,,,,,汚らわしい(けがらわしい),,,
36,66,汚,汚,よごす,汚す,よごす,,,,,汚す(よごす),,,
36,67,汚,汚,よごれる,汚れる,よごれる,汚れ,よごれ,汚れ物,よごれもの,汚れる(よごれる),汚れ(よごれ),汚れ物(よごれもの),
36,68,汚,汚,きたない,汚い,きたない,,,,,汚い(きたない),,,
37,69,凹,凹,オウ,凹凸,おうとつ,凹面鏡,おうめんきょう,凹レンズ,おうれんず,凹凸(おうとつ),凹面鏡(おうめんきょう),凹レンズ(おうれんず),凸凹(でこぼこ)
38,70,押,押,オウ,押収,おうしゅう,押印,おういん,押韻,おういん,押収(おうしゅう),押印(おういん),押韻(おういん),
38,71,押,押,おす,押す,おす,,,,,押す(おす),,,←→推す
38,72,押,押,おさえる,押さえる,おさえる,,,,,押さえる(おさえる),,,←→抑える
